TRAT_QUEMA,TRAT_PASTO,ID_QUADRAT,FECHA_MUESTREOS,COB_TOTAL,COB_MANTILLO,COB_DESNUDO,COBERTURA
Quema_primavera_2024,Pastoreo,77,2023-10-24,85,10,5,80.73
Quema_primavera_2024,Pastoreo,78,2023-10-24,47,14,39,136.008
Quema_primavera_2024,No pastoreo,79,2023-10-24,80,15,5,164.1
Quema_primavera_2024,Pastoreo,80,2023-10-24,45,30,25,65.18
Quema_primavera_2024,No pastoreo,81,2023-10-24,88,8,4,68.844
Quema_primavera_2024,No pastoreo,82,2023-10-24,60,31,9,86.78
No_quemado,No pastoreo,83,2023-10-24,55,30,15,108.25
No_quemado,Pastoreo,84,2023-10-24,85,12,3,56.15
No_quemado,No pastoreo,85,2023-10-24,90,5,5,71.92
No_quemado,No pastoreo,86,2023-10-24,65,30,5,136.63
No_quemado,Pastoreo,87,2023-10-24,88,11,1,81.86
No_quemado,Pastoreo,88,2023-10-24,65,30,5,54.3
Quema_otono_2023,Pastoreo,89,2023-10-24,70,28,2,70.58
Quema_otono_2023,Pastoreo,90,2023-10-24,69,30,1,199.47
Quema_otono_2023,No pastoreo,91,2023-10-24,90,7,3,102.46
Quema_otono_2023,No pastoreo,92,2023-10-24,75,21,4,177.14
Quema_otono_2023,No pastoreo,93,2023-10-24,50,42,8,42.5
Quema_otono_2023,Pastoreo,94,2023-10-24,45,22,23,47.36
Quema_otono_2023,No pastoreo,95,2023-10-24,50,15,35,71.9
Quema_otono_2023,No pastoreo,96,2023-10-24,40,52,8,59.75
Quema_otono_2023,Pastoreo,97,2023-10-24,70,10,20,82.926
Quema_otono_2023,No pastoreo,98,2023-10-24,40,25,35,26.32
Quema_otono_2023,Pastoreo,99,2023-10-24,60,20,20,57.26
Quema_otono_2023,Pastoreo,100,2023-10-24,55,35,10,45.97
No_quemado,No pastoreo,101,2023-10-24,70,15,15,48.08
No_quemado,No pastoreo,102,2023-10-24,85,10,5,68.185
No_quemado,No pastoreo,103,2023-10-24,86,3,11,71.27
No_quemado,Pastoreo,104,2023-10-24,85,7,8,56.03
No_quemado,Pastoreo,105,2023-10-24,55,15,30,45.62
No_quemado,No pastoreo,106,2023-10-24,55,10,35,37.62
Quema_primavera_2024,Pastoreo,107,2023-10-24,75,15,10,62.92
Quema_primavera_2024,No pastoreo,108,2023-10-24,35,35,30,38.04
Quema_primavera_2024,No pastoreo,109,2023-10-24,35,55,10,30.83
Quema_primavera_2024,Pastoreo,110,2023-10-24,60,15,25,76.36
Quema_primavera_2024,No pastoreo,111,2023-10-24,45,25,30,30.68
Quema_primavera_2024,Pastoreo,112,2023-10-24,70,14,16,42.61
No_quemado,No pastoreo,113,2023-10-24,75,20,5,57.49
No_quemado,Pastoreo,114,2023-10-24,55,20,25,61.42
No_quemado,Pastoreo,115,2023-10-24,95,1,4,68.48
No_quemado,No pastoreo,116,2023-10-24,94,5,1,79.46
No_quemado,Pastoreo,117,2023-10-24,75,15,10,53.66
No_quemado,No pastoreo,118,2023-10-24,60,32,8,47.28
Quema_primavera_2024,Pastoreo,119,2023-10-24,87,3,10,79.34
Quema_primavera_2024,No pastoreo,120,2023-10-24,87,3,10,58.53
Quema_primavera_2024,No pastoreo,121,2023-10-24,90,8,2,51.66
Quema_primavera_2024,Pastoreo,122,2023-10-24,40,25,35,33.27
Quema_primavera_2024,No pastoreo,123,2023-10-24,91,8,1,65.05
Quema_primavera_2024,Pastoreo,124,2023-10-24,70,14,16,50.62
Quema_otono_2023,No pastoreo,125,2023-10-24,55,15,30,36.86
Quema_otono_2023,Pastoreo,126,2023-10-24,60,36,4,32.38
Quema_otono_2023,No pastoreo,127,2023-10-24,87,12,1,103.2
Quema_otono_2023,Pastoreo,128,2023-10-24,45,43,12,25.22
Quema_otono_2023,Pastoreo,129,2023-10-24,80,15,5,63.81
Quema_otono_2023,No pastoreo,130,2023-10-24,80,17,3,60.35
No_quemado,No pastoreo,131,2023-10-24,97,1,2,143.56
No_quemado,Pastoreo,132,2023-10-24,70,21,9,62.91
No_quemado,No pastoreo,133,2023-10-24,70,26,4,58.82
No_quemado,Pastoreo,134,2023-10-24,85,10,5,108.49
No_quemado,No pastoreo,135,2023-10-24,50,45,5,66.67
No_quemado,Pastoreo,136,2023-10-24,40,8,52,24.01
Quema_primavera_2024,Pastoreo,137,2023-10-24,82,15,3,95.72
Quema_primavera_2024,Pastoreo,138,2023-10-24,50,35,15,31.01
Quema_primavera_2024,No pastoreo,139,2023-10-24,50,30,20,29.99
Quema_primavera_2024,Pastoreo,140,2023-10-24,93,7,0,90.73
Quema_primavera_2024,No pastoreo,141,2023-10-24,65,25,10,37.05
Quema_primavera_2024,No pastoreo,142,2023-10-24,90,10,0,100.7
Quema_otono_2023,No pastoreo,143,2023-10-24,75,15,10,71.85
Quema_otono_2023,Pastoreo,144,2023-10-24,93,5,2,70.37
Quema_otono_2023,No pastoreo,145,2023-10-24,92,6,2,64.34
Quema_otono_2023,Pastoreo,146,2023-10-24,75,20,5,100.59
Quema_otono_2023,No pastoreo,147,2023-10-24,45,5,50,29.18
Quema_otono_2023,Pastoreo,148,2023-10-24,75,20,5,34.83
