tratamientos,r.squared,r2_ajustado,rmse,p_valor,indice,fecha,cobertura_ajuste
Prequema,0.2707117122036975,0.2564119418547504,15.266362270603796,6.513820033160028e-05,NDVI,2022-11-07,REC_VEG_VERDE
Control,0.649804542798967,0.6279173267239024,12.147079753775584,5.357438802514392e-05,NDVI,2023-06-22,REC_VEG_VERDE
Quema - Excluido,0.3418563428770767,0.3007223643068939,3.1324392006855835,0.0108192332428805,NDVI,2023-06-22,REC_VEG_VERDE
Quema - Pastoreo,0.4776299364976671,0.4428052655975116,0.7218308396528559,0.0021241838742127,NDVI,2023-06-22,REC_VEG_VERDE
Control,0.3221909133725211,0.2798278454583037,15.701319539103569,0.0140075538159869,NDVI,2023-11-14,REC_VEG_VERDE
Quema - Excluido,0.8245513311599351,0.813585789357431,3.90117830787006,1.919482578337233e-07,NDVI,2023-11-14,REC_VEG_VERDE
Quema - Pastoreo,0.4619415742634848,0.4260710125477173,2.137883126021596,0.0026877980347564,NDVI,2023-11-14,REC_VEG_VERDE
Control,0.6144204669493847,0.5903217461337212,12.383523663220066,0.00011848466404027048,NDVI,2024-06-17,REC_VEG_VERDE
Quema - Excluido,0.5141848731597378,0.4838214277322215,6.873366882687544,0.0008104244790906134,NDVI,2024-06-17,REC_VEG_VERDE
Quema - Pastoreo,0.0953823754290218,0.0350745337909566,4.811112899414779,0.2277589722801094,NDVI,2024-06-17,REC_VEG_VERDE
Control,0.5058341189888921,0.4749487514256978,10.780678138151853,0.0009350762636237388,NDVI,2024-11-20,REC_VEG_VERDE
Quema - Excluido,0.2470654741723843,0.2000070663081583,12.552598047919336,0.0358511584757792,NDVI,2024-11-20,REC_VEG_VERDE
Quema - Pastoreo,0.0916070233612183,0.0310474915852996,5.8945441034583625,0.237672931949931,NDVI,2024-11-20,REC_VEG_VERDE
Control,0.1430291123408856,0.089468431862191,21.395633767347483,0.1217488447847823,NDVI,2025-05-19,REC_VEG_VERDE
Quema - Excluido,0.0910692110832235,0.034261036775925,23.23045868832982,0.2235891485931845,NDVI,2025-05-19,REC_VEG_VERDE
Quema - Pastoreo,0.1379302345401333,0.0804589168428089,16.551585556522383,0.1421741903636297,NDVI,2025-05-19,REC_VEG_VERDE
