ID_QUADRAT,FECHA_MUESTREOS,TIPO_VEG,TRAT_QUEMA,TRAT_PASTO,COB_TOTAL,REC_VEG,REC_VEG_VERDE,COB_TOTAL_VERDE
1,2025-05-19,Lastonar,Quemado,Pastoreo,40,69.24,65.24,37.68
2,2025-05-19,Lastonar,Quemado,Pastoreo,30,49.78,49.14,29.61
3,2025-05-19,Lastonar,Quemado,Excluido,50,58.18,51.09,43.9
4,2025-05-19,Lastonar,Quemado,Excluido,40,58.32,55.19,37.85
5,2025-05-19,Lastonar,Quemado,Pastoreo,35,44.46,41.9,32.98
6,2025-05-19,Lastonar,Quemado,Pastoreo,45,86.04,82.73,43.26
7,2025-05-19,Lastonar,Quemado,Excluido,70,88.12,87.71,69.67
8,2025-05-19,Lastonar,Quemado,Excluido,35,57.09,54.59,33.46
9,2025-05-19,Aulagar,Quemado,Excluido,60,110.54,107.99,58.61
10,2025-05-19,Aulagar,Quemado,Excluido,55,85.05,82.4,53.28
11,2025-05-19,Aulagar,Quemado,Pastoreo,42,42.3,42.19,41.89
12,2025-05-19,Aulagar,Quemado,Pastoreo,20,38.17,38.08,19.95
13,2025-05-19,Aulagar,Quemado,Excluido,50,62.38,62.38,50.0
14,2025-05-19,Aulagar,Quemado,Excluido,30,44.2,42.52,28.85
15,2025-05-19,Aulagar,Quemado,Pastoreo,20,31.06,27.87,17.94
16,2025-05-19,Aulagar,Quemado,Pastoreo,30,41.81,34.34,24.64
17,2025-05-19,Espartal,Quemado,Excluido,45,99.69,99.35,44.84
18,2025-05-19,Espartal,Quemado,Excluido,70,92.78,90.64,68.38
19,2025-05-19,Espartal,Quemado,Pastoreo,35,50.83,47.19,32.49
20,2025-05-19,Espartal,Quemado,Pastoreo,35,76.46,74.34,34.02
21,2025-05-19,Espartal,Quemado,Excluido,35,73.08,69.97,33.51
22,2025-05-19,Espartal,Quemado,Pastoreo,17,21.91,20.21,15.68
23,2025-05-19,Espartal,Quemado,Pastoreo,48,57.36,49.46,41.38
24,2025-05-19,Espartal,Quemado,Excluido,55,69.96,65.54,51.52
25,2025-05-19,Espartal,Quemado,Excluido,35,43.95,36.02,28.68
26,2025-05-19,Espartal,Quemado,Pastoreo,40,48.01,43.23,36.01
27,2025-05-19,Espartal,Quemado,Pastoreo,25,31.32,29.96,23.91
28,2025-05-19,Aulagar,No quemado,Pastoreo,77,77.3,54.69,54.47
29,2025-05-19,Aulagar,No quemado,Pastoreo,45,65.31,64.04,44.12
30,2025-05-19,Espartal,No quemado,Pastoreo,45,56.18,34.59,27.7
31,2025-05-19,Espartal,No quemado,Pastoreo,45,49.13,36.82,33.72
32,2025-05-19,Lastonar,No quemado,Pastoreo,50,74.05,55.29,37.33
33,2025-05-19,Lastonar,No quemado,Pastoreo,52,52.53,35.7,35.33
34,2025-05-19,Espartal,No quemado,Pastoreo,95,97.73,74.5,72.41
35,2025-05-19,Espartal,No quemado,Pastoreo,70,68.64,55.6,56.7
36,2025-05-19,Lastonar,No quemado,Pastoreo,65,77.13,60.88,51.3
37,2025-05-19,Lastonar,No quemado,Pastoreo,35,42.37,31.53,26.04
38,2025-05-19,Lastonar,No quemado,Pastoreo,45,51.19,41.66,36.62
39,2025-05-19,Lastonar,No quemado,Pastoreo,35,59.38,44.16,26.02
40,2025-05-19,Aulagar,No quemado,Pastoreo,90,137.26,126.65,83.04
41,2025-05-19,Aulagar,No quemado,Pastoreo,50,117.26,65.72,28.02
42,2025-05-19,Aulagar,No quemado,Pastoreo,57,57.06,34.19,34.15
43,2025-05-19,Aulagar,No quemado,Pastoreo,55,69.35,60.06,47.63
44,2025-05-19,Espartal,No quemado,Pastoreo,86,86.2,74.52,74.34
45,2025-05-19,Espartal,No quemado,Pastoreo,68,67.79,52.69,52.85
46,2025-05-19,Espartal,Quemado,Excluido,20,63.36,61.17,19.3
47,2025-05-19,Aulagar,Quemado,Pastoreo,40,43.31,42.7,39.43
48,2025-05-19,Aulagar,Quemado,Pastoreo,40,74.01,72.77,39.32
49,2025-05-19,Aulagar,Quemado,Excluido,55,54.7,54.16,54.45
50,2025-05-19,Aulagar,Quemado,Excluido,30,29.85,26.54,26.67
51,2025-05-19,Lastonar,Quemado,Excluido,25,30.11,26.67,22.14
52,2025-05-19,Lastonar,Quemado,Excluido,40,53.45,48.74,36.47
53,2025-05-19,Lastonar,Quemado,Pastoreo,35,42.16,40.67,33.76
54,2025-05-19,Lastonar,Quemado,Pastoreo,34,67.2,57.6,29.14
