ID_QUADRAT,cobertura_calculada,COB_TOTAL,quema,tratamientos_quema_primavera
140,75.80315078704359,94,Quema,Quema primavera / Pastoreo
123,45.52384787405961,87,Quema,Quema primavera / No pastoreo
141,70.42628575010622,75,Quema,Quema primavera / No pastoreo
139,71.90589252863529,60,Quema,Quema primavera / No pastoreo
134,97.96006164789695,95,Control,Control / Pastoreo
137,91.63039556907405,80,Quema,Quema primavera / Pastoreo
132,63.81262678570846,55,Control,Control / Pastoreo
136,29.954013505819905,35,Control,Control / Pastoreo
131,96.18300741745966,89,Control,Control / No pastoreo
113,89.38433651982524,75,Control,Control / No pastoreo
135,50.73502006232321,65,Control,Control / No pastoreo
121,63.63109590888379,60,Quema,Quema primavera / No pastoreo
114,80.95538429197103,55,Control,Control / Pastoreo
128,3.462521161303047,25,Quema,Quema otoño / Pastoreo
125,12.044359201039835,5,Quema,Quema otoño / No pastoreo
127,7.0117518526503275,10,Quema,Quema otoño / No pastoreo
130,12.903416915504495,10,Quema,Quema otoño / No pastoreo
119,57.448546017973946,94,Quema,Quema primavera / Pastoreo
129,15.634652230296206,20,Quema,Quema otoño / Pastoreo
122,61.84338457168962,55,Quema,Quema primavera / Pastoreo
120,97.39084688275287,88,Quema,Quema primavera / No pastoreo
115,55.465352217821874,91,Control,Control / Pastoreo
117,65.88704476427752,76,Control,Control / Pastoreo
138,62.584622044922114,65,Quema,Quema primavera / Pastoreo
118,48.7258418480101,60,Control,Control / No pastoreo
142,86.49167374797932,87,Quema,Quema primavera / No pastoreo
148,16.161884031666766,73,Quema,Quema otoño / Pastoreo
145,18.367294308366247,15,Quema,Quema otoño / No pastoreo
143,16.861852175523723,20,Quema,Quema otoño / No pastoreo
146,4.502145898658901,7,Quema,Quema otoño / Pastoreo
147,33.81671451772428,18,Quema,Quema otoño / No pastoreo
144,7.9627070181547355,10,Quema,Quema otoño / Pastoreo
124,53.04387470562545,60,Quema,Quema primavera / Pastoreo
116,85.01816895692146,80,Control,Control / No pastoreo
