ID_QUADRAT,cobertura_calculada,COB_TOTAL,quema,tratamientos_quema_primavera
90,7.962945799299215,23,Quema,Quema otoño / Pastoreo
93,9.021293836102744,35,Quema,Quema otoño / No pastoreo
94,1.2307727522576408,22,Quema,Quema otoño / Pastoreo
92,15.676510459003554,40,Quema,Quema otoño / No pastoreo
89,1.3613237719862765,15,Quema,Quema otoño / Pastoreo
95,5.6259866894403,45,Quema,Quema otoño / No pastoreo
99,8.482838506209806,30,Quema,Quema otoño / Pastoreo
97,12.158560418502232,40,Quema,Quema otoño / Pastoreo
88,64.9463180465731,82,Control,Control / Pastoreo
84,77.07299047126516,80,Control,Control / Pastoreo
78,0.0,10,Quema,Quema primavera / Pastoreo
87,89.82160518534039,95,Control,Control / Pastoreo
79,8.44979342607286,20,Quema,Quema primavera / No pastoreo
80,12.952203731660584,20,Quema,Quema primavera / Pastoreo
81,0.0,15,Quema,Quema primavera / No pastoreo
77,0.0,4,Quema,Quema primavera / Pastoreo
91,19.388401034759024,65,Quema,Quema otoño / No pastoreo
82,20.384180747742413,18,Quema,Quema primavera / No pastoreo
102,61.36562899644762,90,Control,Control / No pastoreo
105,59.22328762064868,65,Control,Control / Pastoreo
103,63.288365736816075,85,Control,Control / No pastoreo
104,46.551613724635644,90,Control,Control / Pastoreo
112,2.283481106609896,7,Quema,Quema primavera / Pastoreo
106,47.06037656133286,65,Control,Control / No pastoreo
110,0.6118463593423772,12,Quema,Quema primavera / Pastoreo
108,0.5627357511675755,30,Quema,Quema primavera / No pastoreo
107,9.02211802933817,25,Quema,Quema primavera / Pastoreo
109,0.27435523681918733,5,Quema,Quema primavera / No pastoreo
100,8.376168017788439,55,Quema,Quema otoño / Pastoreo
111,0.0,12,Quema,Quema primavera / No pastoreo
96,23.23280156673547,45,Quema,Quema otoño / No pastoreo
98,1.808610357086105,45,Quema,Quema otoño / No pastoreo
169,26.24679179460625,70,Control,Control / No pastoreo
171,73.23263715067516,81,Control,Control / No pastoreo
170,84.31671065573549,80,Control,Control / No pastoreo
172,75.1012377752297,90,Control,Control / No pastoreo
