ID_QUADRAT,cobertura_calculada,COB_TOTAL,quema,tratamientos_quema_primavera
90,0.2545008216328806,8,Quema,Quema otoño / Pastoreo
93,3.3992153175321866,10,Quema,Quema otoño / No pastoreo
94,0.7552566027805384,4,Quema,Quema otoño / Pastoreo
92,0.0,5,Quema,Quema otoño / No pastoreo
89,0.0,3,Quema,Quema otoño / Pastoreo
95,2.092335934851687,10,Quema,Quema otoño / No pastoreo
99,8.149939043157959,20,Quema,Quema otoño / Pastoreo
97,14.50755929483894,22,Quema,Quema otoño / Pastoreo
88,73.09333705553935,60,Control,Control / Pastoreo
84,79.87317741318012,65,Control,Control / Pastoreo
78,63.59496813250528,50,Quema,Quema primavera / Pastoreo
87,86.74283530686967,90,Control,Control / Pastoreo
79,82.09847772728592,84,Quema,Quema primavera / No pastoreo
80,58.960988437994835,35,Quema,Quema primavera / Pastoreo
81,75.72890572942201,95,Quema,Quema primavera / No pastoreo
77,95.41072526377063,92,Quema,Quema primavera / Pastoreo
91,0.0,7,Quema,Quema otoño / No pastoreo
82,76.79351855151108,60,Quema,Quema primavera / No pastoreo
102,81.28077834782852,78,Control,Control / No pastoreo
105,49.11084995488314,65,Control,Control / Pastoreo
103,77.62251301428724,75,Control,Control / No pastoreo
104,79.26316109537962,85,Control,Control / Pastoreo
112,66.9483729153211,72,Quema,Quema primavera / Pastoreo
106,54.51249897723274,55,Control,Control / No pastoreo
110,45.05471886012292,61,Quema,Quema primavera / Pastoreo
108,42.01387845760182,77,Quema,Quema primavera / No pastoreo
107,83.04556060682836,70,Quema,Quema primavera / Pastoreo
109,44.61447492218248,35,Quema,Quema primavera / No pastoreo
100,9.070565659562945,25,Quema,Quema otoño / Pastoreo
111,59.453059005764786,58,Quema,Quema primavera / No pastoreo
96,13.71776261811298,30,Quema,Quema otoño / No pastoreo
98,4.756471359294697,20,Quema,Quema otoño / No pastoreo
