tratamientos,r.squared,r2_ajustado,rmse,p_valor,indice
Control,0.5919840061133413,0.5664830064954252,12.071680177861818,1.8921495426663026e-4,NDVI
Quema - Excluido,0.19937854188288714,0.14933970075056757,13.504213289604106,0.06323140951184728,NDVI
Quema - Pastoreo,0.1887436648529422,0.13465990917647164,8.458701281081966,0.08140635910494594,NDVI
