"ID_QUADRAT,cobertura_calculada,COB_TOTAL,quema,tratamientos_prequema"
"90,77.34690155766282,69,Quema,Control"
"93,14.130223237415823,50,Quema,Control"
"94,32.82942454751335,45,Quema,Control"
"92,60.065209093338886,75,Quema,Control"
"89,49.21588550219397,70,Quema,Control"
"95,41.716490594439115,50,Quema,Control"
"99,35.69996872546526,60,Quema,Control"
"85,80.99186353605259,90,Control,Control"
"97,47.18431513346967,70,Quema,Control"
"86,65.9725779877703,65,Control,Control"
"83,52.88332903475891,55,Control,Control"
"88,41.93288093832381,65,Control,Control"
"84,86.08065941486622,85,Control,Control"
"78,40.11172738889179,47,Quema,Control"
"87,86.92996151246709,88,Control,Control"
"79,83.54818993927546,80,Quema,Control"
"80,43.94841072871135,45,Quema,Control"
"81,83.14266633300204,88,Quema,Control"
"77,92.7164629806367,85,Quema,Control"
"91,97.2625778357075,90,Quema,Control"
"82,67.97263447017406,60,Quema,Control"
"102,61.81733212318045,85,Control,Control"
"105,51.75141597662722,55,Control,Control"
"101,27.748855546359017,70,Control,Control"
"103,66.4880772029984,86,Control,Control"
"104,85.42323462483363,85,Control,Control"
"112,72.15138140169,70,Quema,Control"
"106,34.962838574902115,55,Control,Control"
"110,43.161088168763946,60,Quema,Control"
"108,37.525795987228875,35,Quema,Control"
"107,71.88379756223564,75,Quema,Control"
"109,57.1537972417676,35,Quema,Control"
"100,56.75221032769,55,Quema,Control"
"111,51.146435228183186,45,Quema,Control"
"96,35.63966790954446,40,Quema,Control"
"98,33.60462180592157,40,Quema,Control"
"140,98.69561575740748,93,Quema,Control"
"123,86.482748798273,91,Quema,Control"
"141,90.38263471565054,65,Quema,Control"
"139,77.5617855185512,50,Quema,Control"
"134,99.24119877378934,85,Control,Control"
"137,97.85016393259312,82,Quema,Control"
"132,81.84729192623273,70,Control,Control"
"136,85.61417516740613,40,Control,Control"
"131,99.81598020662705,97,Control,Control"
"133,87.97768205301595,70,Control,Control"
"113,82.86446906405428,75,Control,Control"
"135,91.48173093504407,50,Control,Control"
"121,90.64562105932498,90,Quema,Control"
"114,75.87430061085637,55,Control,Control"
"128,61.839079087488855,45,Quema,Control"
"126,69.69595010130072,60,Quema,Control"
"125,82.09699978484609,55,Quema,Control"
"127,85.69894406215568,87,Quema,Control"
"130,88.01388822354993,80,Quema,Control"
"119,67.20558956486875,87,Quema,Control"
"129,74.94327286152121,80,Quema,Control"
"122,76.76028310627538,40,Quema,Control"
"120,98.68298468002969,87,Quema,Control"
"115,70.01305949154087,95,Control,Control"
"117,70.71593431053135,75,Control,Control"
"138,91.19967204838993,50,Quema,Control"
"118,62.99319194743769,60,Control,Control"
"142,98.97280031093555,90,Quema,Control"
"148,96.93269304145156,75,Quema,Control"
"145,97.46325291538163,92,Quema,Control"
"143,92.31429579498435,75,Quema,Control"
"146,93.24039624399573,75,Quema,Control"
"147,85.82736869079716,45,Quema,Control"
"144,99.78379437848321,93,Quema,Control"
"124,68.13720379565359,70,Quema,Control"
"116,81.94765673296862,94,Control,Control"
