ID_QUADRAT,BLOQUE,TRAT_QUEMA,TRAT_PASTOREO,FECHA_MUESTREOS,REC_VEG_VERDE
77,1,Quema_primavera_2024,Pastoreo,2025-01-29,1.15
78,1,Quema_primavera_2024,Pastoreo,2025-01-29,4.22
79,1,Quema_primavera_2024,No pastoreo,2025-01-29,9.24
80,1,Quema_primavera_2024,Pastoreo,2025-01-29,44.34
81,1,Quema_primavera_2024,No pastoreo,2025-01-29,4.17
82,1,Quema_primavera_2024,No pastoreo,2025-01-29,16.38
84,1,No_quemado,Pastoreo,2025-01-29,100
87,1,No_quemado,Pastoreo,2025-01-29,100
88,1,No_quemado,Pastoreo,2025-01-29,72.69
89,1,Quema_otono_2023,Pastoreo,2025-01-29,12.18
90,1,Quema_otono_2023,Pastoreo,2025-01-29,15.27
91,1,Quema_otono_2023,No pastoreo,2025-01-29,24.38
92,1,Quema_otono_2023,No pastoreo,2025-01-29,71.17
93,1,Quema_otono_2023,No pastoreo,2025-01-29,17.24
94,1,Quema_otono_2023,Pastoreo,2025-01-29,72.41
95,4,Quema_otono_2023,No pastoreo,2025-01-29,34.13
97,4,Quema_otono_2023,Pastoreo,2025-01-29,22.22
98,4,Quema_otono_2023,No pastoreo,2025-01-29,19.88
99,4,Quema_otono_2023,Pastoreo,2025-01-29,45.2
100,4,Quema_otono_2023,Pastoreo,2025-01-29,18.91
102,4,No_quemado,No pastoreo,2025-01-29,100
103,4,No_quemado,No pastoreo,2025-01-29,75.87
104,4,No_quemado,Pastoreo,2025-01-29,64.1
105,4,No_quemado,Pastoreo,2025-01-29,100
106,4,No_quemado,No pastoreo,2025-01-29,47.08
107,4,Quema_primavera_2024,Pastoreo,2025-01-29,9.79
108,4,Quema_primavera_2024,No pastoreo,2025-01-29,9.28
109,4,Quema_primavera_2024,No pastoreo,2025-01-29,1.93
110,4,Quema_primavera_2024,Pastoreo,2025-01-29,5.07
111,4,Quema_primavera_2024,No pastoreo,2025-01-29,34.32
112,4,Quema_primavera_2024,Pastoreo,2025-01-29,9.66
113,2,No_quemado,No pastoreo,2025-01-29,100
114,2,No_quemado,Pastoreo,2025-01-29,100
115,2,No_quemado,Pastoreo,2025-01-29,100
116,2,No_quemado,No pastoreo,2025-01-29,100
117,2,No_quemado,Pastoreo,2025-01-29,100
118,2,No_quemado,No pastoreo,2025-01-29,90.86
119,2,Quema_primavera_2024,Pastoreo,2025-01-29,4.38
120,2,Quema_primavera_2024,No pastoreo,2025-01-29,4.57
121,2,Quema_primavera_2024,No pastoreo,2025-01-29,4.32
122,2,Quema_primavera_2024,Pastoreo,2025-01-29,5.39
123,2,Quema_primavera_2024,No pastoreo,2025-01-29,8.22
124,2,Quema_primavera_2024,Pastoreo,2025-01-29,9.75
125,2,Quema_otono_2023,No pastoreo,2025-01-29,17.03
127,2,Quema_otono_2023,No pastoreo,2025-01-29,16.6
128,2,Quema_otono_2023,Pastoreo,2025-01-29,14.72
129,2,Quema_otono_2023,Pastoreo,2025-01-29,26.68
130,2,Quema_otono_2023,No pastoreo,2025-01-29,34.01
131,3,No_quemado,No pastoreo,2025-01-29,100
132,3,No_quemado,Pastoreo,2025-01-29,48.97
134,3,No_quemado,Pastoreo,2025-01-29,66.81
135,3,No_quemado,No pastoreo,2025-01-29,100
136,3,No_quemado,Pastoreo,2025-01-29,68.24
137,3,Quema_primavera_2024,Pastoreo,2025-01-29,2.66
138,3,Quema_primavera_2024,Pastoreo,2025-01-29,3.93
139,3,Quema_primavera_2024,No pastoreo,2025-01-29,7.57
140,3,Quema_primavera_2024,No pastoreo,2025-01-29,11.02
141,3,Quema_primavera_2024,No pastoreo,2025-01-29,15.54
142,3,Quema_primavera_2024,Pastoreo,2025-01-29,2.02
143,3,Quema_otono_2023,No pastoreo,2025-01-29,41.38
144,3,Quema_otono_2023,Pastoreo,2025-01-29,22.76
145,3,Quema_otono_2023,No pastoreo,2025-01-29,88.78
146,3,Quema_otono_2023,Pastoreo,2025-01-29,31.24
147,3,Quema_otono_2023,No pastoreo,2025-01-29,16.73
148,3,Quema_otono_2023,Pastoreo,2025-01-29,25.9
169,4,No_quemado,Pastoreo,2025-01-29,100
170,1,No_quemado,No pastoreo,2025-01-29,100
171,1,No_quemado,No pastoreo,2025-01-29,100
172,1,No_quemado,No pastoreo,2025-01-29,100
173,3,No_quemado,No pastoreo,2025-01-29,100
