ID_QUADRAT,cobertura_calculada,quema,tratamientos
45,1.56913207830822,Control,Control
44,63.6096751217118,Control,Control
28,26.2559976798931,Control,Control
29,30.2584903742994,Control,Control
30,4.95684928208184,Control,Control
31,15.1937595161849,Control,Control
32,2.01331680413402,Control,Control
33,0.510487039340813,Control,Control
35,16.242584207942,Control,Control
34,19.565184910085,Control,Control
36,27.1454481052067,Control,Control
37,0.536338096669399,Control,Control
38,2.99120991819739,Control,Control
39,0.271440730844387,Control,Control
40,26.4129447594323,Control,Control
41,3.17224250466638,Control,Control
42,17.6248309167685,Control,Control
43,0,Control,Control
23,9.37534826656075,Quema,Quema - Pastoreo
46,6.24329117126717,Quema,Quema - Excluido
21,14.6830727011324,Quema,Quema - Excluido
22,0.977188754906448,Quema,Quema - Pastoreo
26,23.6036704182035,Quema,Quema - Pastoreo
24,34.6559555519594,Quema,Quema - Excluido
25,25.2094477052747,Quema,Quema - Excluido
27,0,Quema,Quema - Pastoreo
17,18.8753987846476,Quema,Quema - Excluido
18,45.98368044422,Quema,Quema - Excluido
19,23.3533460398821,Quema,Quema - Pastoreo
20,4.22753371005955,Quema,Quema - Pastoreo
16,0.256522384837266,Quema,Quema - Pastoreo
15,0,Quema,Quema - Pastoreo
13,29.3000392500134,Quema,Quema - Excluido
14,5.39752665909786,Quema,Quema - Excluido
47,1.03966264526673,Quema,Quema - Pastoreo
48,2.30651760901079,Quema,Quema - Pastoreo
49,1.57778592849789,Quema,Quema - Excluido
50,3.56933963843537,Quema,Quema - Excluido
11,1.33721144971311,Quema,Quema - Pastoreo
12,1.79268596285404,Quema,Quema - Pastoreo
9,8.79316932359348,Quema,Quema - Excluido
10,13.4418653386649,Quema,Quema - Excluido
1,1.61215518002464,Quema,Quema - Pastoreo
2,0.294056797526642,Quema,Quema - Pastoreo
3,0.52981281741614,Quema,Quema - Excluido
4,0.776596464340546,Quema,Quema - Excluido
6,0.796855117327743,Quema,Quema - Pastoreo
5,4.24663659994591,Quema,Quema - Pastoreo
7,5.54835821190262,Quema,Quema - Excluido
8,8.21457349322722,Quema,Quema - Excluido
51,0.292325659927699,Quema,Quema - Excluido
52,6.61513354949002,Quema,Quema - Excluido
53,0.255195970992163,Quema,Quema - Pastoreo
