ID_QUADRAT,cobertura_calculada,quema,tratamientos
45,67.6890240766208,Control,Control
44,96.539986409846,Control,Control
28,92.9429215997698,Control,Control
29,20.9745696638982,Control,Control
30,12.0215607720649,Control,Control
31,15.6251216611581,Control,Control
32,14.6992058000311,Control,Control
33,12.8620135883665,Control,Control
35,68.8269324607112,Control,Control
34,76.7816392062397,Control,Control
36,67.8292686841413,Control,Control
37,15.9703177596772,Control,Control
38,19.931305407889,Control,Control
39,3.10868400664525,Control,Control
40,52.7120225109372,Control,Control
41,6.96329080452596,Control,Control
42,52.1701934699347,Control,Control
43,19.5385970138303,Control,Control
23,6.49880059804005,Quema,Quema - Pastoreo
46,5.72011999896193,Quema,Quema - Excluido
21,16.8158378930196,Quema,Quema - Excluido
22,8.95302939806118,Quema,Quema - Pastoreo
26,18.2239430065888,Quema,Quema - Pastoreo
24,43.9423322352087,Quema,Quema - Excluido
25,18.9266781189879,Quema,Quema - Excluido
27,2.47508858651305,Quema,Quema - Pastoreo
17,19.5335361117634,Quema,Quema - Excluido
18,63.8504319632494,Quema,Quema - Excluido
19,14.2448844308836,Quema,Quema - Pastoreo
20,4.23639742357097,Quema,Quema - Pastoreo
16,5.87566230469126,Quema,Quema - Pastoreo
15,0.293057461280053,Quema,Quema - Pastoreo
13,27.1028968229625,Quema,Quema - Excluido
14,5.88717654806624,Quema,Quema - Excluido
47,4.16736986987046,Quema,Quema - Pastoreo
48,4.40257828407735,Quema,Quema - Pastoreo
49,3.91508993912201,Quema,Quema - Excluido
50,3.14446007981534,Quema,Quema - Excluido
11,3.36918090201437,Quema,Quema - Pastoreo
12,2.34637664807588,Quema,Quema - Pastoreo
9,10.3581323398933,Quema,Quema - Excluido
10,17.1048233655522,Quema,Quema - Excluido
1,0.307721014503041,Quema,Quema - Pastoreo
2,0.673539052648993,Quema,Quema - Pastoreo
3,7.88800860858962,Quema,Quema - Excluido
4,3.85406530680878,Quema,Quema - Excluido
6,5.17140553046369,Quema,Quema - Pastoreo
5,8.20711356257522,Quema,Quema - Pastoreo
7,16.8388306406664,Quema,Quema - Excluido
8,5.01747607499081,Quema,Quema - Excluido
51,1.33914774090441,Quema,Quema - Excluido
52,11.0483387587396,Quema,Quema - Excluido
53,2.63037631826375,Quema,Quema - Pastoreo
