ID_QUADRAT,cobertura_calculada,quema,tratamientos
45,0,Control,Control
44,79.9942072007611,Control,Control
28,17.7901709863164,Control,Control
29,27.3710601474837,Control,Control
30,41.1611873444097,Control,Control
31,31.6651338917595,Control,Control
32,13.1019960397163,Control,Control
33,8.17742729995676,Control,Control
35,11.9252788200822,Control,Control
34,80.9648239713371,Control,Control
36,32.3933465123463,Control,Control
37,3.49030992245355,Control,Control
38,0,Control,Control
39,0.543521840827086,Control,Control
40,16.494835453465,Control,Control
41,0.264665371626844,Control,Control
42,13.3020835553787,Control,Control
43,0,Control,Control
23,5.18722512064444,Quema,Quema - Pastoreo
46,6.00062948490424,Quema,Quema - Excluido
21,9.43044063207355,Quema,Quema - Excluido
22,1.71209751975624,Quema,Quema - Pastoreo
26,13.0106083586034,Quema,Quema - Pastoreo
24,23.2964466743149,Quema,Quema - Excluido
25,14.8630753707005,Quema,Quema - Excluido
27,0.540930141933045,Quema,Quema - Pastoreo
17,20.719125669031,Quema,Quema - Excluido
18,56.7721530964003,Quema,Quema - Excluido
19,14.740128499488,Quema,Quema - Pastoreo
20,5.02611806877519,Quema,Quema - Pastoreo
16,0.513649953661655,Quema,Quema - Pastoreo
15,0.256190610693395,Quema,Quema - Pastoreo
13,19.7444432293986,Quema,Quema - Excluido
14,5.40389354342694,Quema,Quema - Excluido
47,1.30111127997608,Quema,Quema - Pastoreo
48,4.87505876188622,Quema,Quema - Pastoreo
49,6.31858829454652,Quema,Quema - Excluido
50,1.64933077212266,Quema,Quema - Excluido
11,1.60654657787477,Quema,Quema - Pastoreo
12,0.512800172158759,Quema,Quema - Pastoreo
9,18.3616726552608,Quema,Quema - Excluido
10,20.4357989626556,Quema,Quema - Excluido
1,2.42108530033464,Quema,Quema - Pastoreo
2,1.4720183242417,Quema,Quema - Pastoreo
3,9.28266116529433,Quema,Quema - Excluido
4,13.7360547328032,Quema,Quema - Excluido
6,9.83947267795875,Quema,Quema - Pastoreo
5,13.5521213141835,Quema,Quema - Pastoreo
7,6.11039331767282,Quema,Quema - Excluido
8,6.03112645381218,Quema,Quema - Excluido
51,0.58534097042342,Quema,Quema - Excluido
52,3.86337975001307,Quema,Quema - Excluido
53,2.04397598685857,Quema,Quema - Pastoreo
