ID_QUADRAT,cobertura_calculada,quema,tratamientos
45,69.6129081922712,Control,Control
44,83.6894479077935,Control,Control
28,49.7374911681351,Control,Control
29,42.8193419012971,Control,Control
30,45.8626337188666,Control,Control
31,30.9515186584243,Control,Control
32,29.1808253851444,Control,Control
33,16.4707091700785,Control,Control
35,43.9447858805681,Control,Control
34,94.4266847135904,Control,Control
36,57.5046223487265,Control,Control
37,38.1246059463502,Control,Control
38,12.8863423505771,Control,Control
39,12.0421849359463,Control,Control
40,49.3076898892372,Control,Control
41,13.0604702416919,Control,Control
42,41.0091211116453,Control,Control
43,21.8433301690755,Control,Control
23,12.9355457577722,Quema,Quema - Pastoreo
46,25.9351286070875,Quema,Quema - Excluido
21,29.3297241698905,Quema,Quema - Excluido
22,15.0253952246857,Quema,Quema - Pastoreo
26,27.8099670707274,Quema,Quema - Pastoreo
24,51.9147512356843,Quema,Quema - Excluido
25,36.7148513427263,Quema,Quema - Excluido
27,3.54095289966757,Quema,Quema - Pastoreo
17,22.4709647898021,Quema,Quema - Excluido
18,74.4707475383984,Quema,Quema - Excluido
19,22.7786978523948,Quema,Quema - Pastoreo
20,16.2507920042039,Quema,Quema - Pastoreo
16,12.9322137202464,Quema,Quema - Pastoreo
15,2.58005414542666,Quema,Quema - Pastoreo
13,37.7801870583866,Quema,Quema - Excluido
14,23.3236014060457,Quema,Quema - Excluido
47,5.5033780037478,Quema,Quema - Pastoreo
48,12.1447819875976,Quema,Quema - Pastoreo
49,14.3175328426551,Quema,Quema - Excluido
50,6.0903857908833,Quema,Quema - Excluido
11,11.5951437690913,Quema,Quema - Pastoreo
12,8.26292396195345,Quema,Quema - Pastoreo
9,10.1324619887357,Quema,Quema - Excluido
10,20.8315446043736,Quema,Quema - Excluido
1,14.0875845757524,Quema,Quema - Pastoreo
2,10.9700990106554,Quema,Quema - Pastoreo
3,15.2245659840246,Quema,Quema - Excluido
4,18.7924866660397,Quema,Quema - Excluido
6,25.710288169396,Quema,Quema - Pastoreo
5,24.6201414189231,Quema,Quema - Pastoreo
7,30.7683907048347,Quema,Quema - Excluido
8,14.9085403353364,Quema,Quema - Excluido
51,8.54756745399539,Quema,Quema - Excluido
52,31.403887884807,Quema,Quema - Excluido
53,18.5260959931217,Quema,Quema - Pastoreo
